document,clause_id,position,label,risk_type,source_note
sample_lease_contract.txt,clause_001,제1조(목적),안전,,정의 조항 (labels.md 미기재 = 안전)
sample_lease_contract.txt,clause_002,제2조(보증금),위험,보증금 반환 지연,labels.md
sample_lease_contract.txt,clause_003,제3조(계약 해지),위험,일방적 계약 해지,labels.md
sample_lease_contract.txt,clause_004,특약1,위험,과도한 위약금,labels.md
sample_lease_contract.txt,clause_005,특약2,위험,책임 면제,labels.md
contract_02_finance_loan.txt,clause_001,제1조(목적),안전,,정의 조항 (labels.md 미기재 = 안전)
contract_02_finance_loan.txt,clause_002,제2조(대출금액 및 이자),위험,불명확한 수수료·이자 조건,labels.md
contract_02_finance_loan.txt,clause_003,제3조(수수료),위험,불명확한 수수료·이자 조건,labels.md
contract_02_finance_loan.txt,clause_004,제4조(기한의 이익 상실),위험,일방적 계약 해지,labels.md
contract_02_finance_loan.txt,clause_005,제5조(상환),위험,과도한 위약금,labels.md
contract_02_finance_loan.txt,clause_006,특약1,위험,일방적 계약 해지,labels.md
contract_02_finance_loan.txt,clause_007,특약2,위험,책임 면제,labels.md
contract_03_lease_normal.txt,clause_001,제1조(목적),안전,,정상 대조군 - labels.md (전 조항 안전)
contract_03_lease_normal.txt,clause_002,제2조(임대차 기간),안전,,정상 대조군 - labels.md (전 조항 안전)
contract_03_lease_normal.txt,clause_003,제3조(보증금 및 차임),안전,,정상 대조군 - labels.md (전 조항 안전)
contract_03_lease_normal.txt,clause_004,제4조(보증금의 반환),안전,,정상 대조군 - labels.md (전 조항 안전)
contract_03_lease_normal.txt,clause_005,제5조(계약의 해지),안전,,정상 대조군 - labels.md (전 조항 안전)
contract_03_lease_normal.txt,clause_006,제6조(수선의무),안전,,정상 대조군 - labels.md (전 조항 안전)
contract_03_lease_normal.txt,clause_007,제7조(원상회복),안전,,정상 대조군 - labels.md (전 조항 안전)
contract_04_gym_membership.txt,clause_001,제1조(목적),안전,,정의 조항 (labels.md 미기재 = 안전)
contract_04_gym_membership.txt,clause_002,제2조(이용 기간 및 요금),안전,,labels.md 미기재 = 안전
