category,id,title,has_quoted_clause,note,file_path
020_임대차기간,4,계약기간을 2년 미만으로 정한 임대차의 기간 (1),,,020_임대차기간/4_계약기간2년미만임대차기간1.txt
020_임대차기간,5,계약기간을 2년 미만으로 정한 임대차의 기간 (2),,임차인·임대인이 보관한 계약서 내용(기간 기재여부)이 서로 다른 사례 — 계약서 위변조/불일치 리스크 참고,020_임대차기간/5_계약기간2년미만임대차기간2.txt
020_임대차기간,6,기간을 정하지 아니한 임대차계약,,,020_임대차기간/6_기간을정하지아니한임대차계약.txt
020_임대차기간,7,1년 계약기간 후 임대차기간 종료 여부,,,020_임대차기간/7_1년계약기간후임대차기간종료여부.txt
020_임대차기간,8,임대차 계약이 묵시적 갱신된 경우 그 기간 및 중도 해지 가부,,,020_임대차기간/8_묵시적갱신기간중도해지가부.txt
030_보증금_임차주택_반환,1013,임대차 종료시 원상회복비용 부담,Y,**실제 계약서 조항(제12조 제2항) 원문이 인용된 사례** — clause-level 라벨링에 직접 활용 가능,030_보증금_임차주택_반환/1013_임대차종료시원상회복비용부담.txt
030_보증금_임차주택_반환,1052,주택임대차보호법 제6조 제1항 소정의 갱신거절의 통지기간을 합의로 단축하는 경우 그 효력,,"특약(계약조항) 자체의 유효성이 쟁점인 사례 — risk_type ""불명확한 계약해지/갱신 조건"" 라벨링에 적합",030_보증금_임차주택_반환/1052_갱신거절통지기간단축특약효력.txt
030_보증금_임차주택_반환,1056,보증금 반환에 관한 분쟁 (보증금 반환의무 및 공제 대상),,,030_보증금_임차주택_반환/1056_보증금반환에관한분쟁.txt
030_보증금_임차주택_반환,10,보증금 등 반환의무의 발생,,청각장애 임차인 — 금융취약계층 관련성 높음,030_보증금_임차주택_반환/10_보증금등반환의무의발생.txt
030_보증금_임차주택_반환,1154,소멸시효가 완성된 관리비채권을 보증금에서 공제할 수 있는지 여부,,신청인이 뇌병변 1급 장애 — 금융취약계층 관련성 높음,030_보증금_임차주택_반환/1154_소멸시효완성관리비채권공제.txt
030_보증금_임차주택_반환,1156,누수 및 곰팡이로 인한 임대차 계약의 해지,,,030_보증금_임차주택_반환/1156_누수곰팡이임대차계약해지.txt
030_보증금_임차주택_반환,1157,보증금 반환의무 및 보증금에서 공제할 대상,,,030_보증금_임차주택_반환/1157_보증금반환의무및공제대상.txt
030_보증금_임차주택_반환,11,차임 미지급으로 인한 임대차 계약 해지,,임차인의 경제적 어려움으로 분할지급 합의한 사례 — 금융취약계층 관련성 높음,030_보증금_임차주택_반환/11_차임미지급으로인한임대차계약해지.txt
030_보증금_임차주택_반환,1252,원상회복과 잔액 보증금 반환 분쟁,,,030_보증금_임차주택_반환/1252_원상회복과잔액보증금반환분쟁.txt
030_보증금_임차주택_반환,1253,임대차종료 시 보증금 반환에 대한 임차인의 불안 해소,,,030_보증금_임차주택_반환/1253_임대차종료시보증금반환불안해소.txt
030_보증금_임차주택_반환,1254,가계약이 파기된 경우 가계약금 반환 여부,,LH전세임대(공공임대) 대상자 사건 — 금융취약계층 관련성 높음,030_보증금_임차주택_반환/1254_가계약금반환여부.txt
030_보증금_임차주택_반환,1258,주택 임차인의 원상복구의무,,,030_보증금_임차주택_반환/1258_주택임차인의원상복구의무.txt
030_보증금_임차주택_반환,1259,보증금 반환의무,,중복 사례 — id=2396과 동일 사건(사실관계 완전동일, 인용판례는 서로 다름). Train/Val/Test 분할시 반드시 같은 셋에 배정,030_보증금_임차주택_반환/1259_보증금반환의무.txt
030_보증금_임차주택_반환,12,보증금의 반환과 주택의 인도,,,030_보증금_임차주택_반환/12_보증금반환과주택인도.txt
030_보증금_임차주택_반환,13,보증금에서 공제할 연체차임 액수에 관한 분쟁,,임차인 사망 후 상속인의 보증금반환청구 사건,030_보증금_임차주택_반환/13_보증금공제연체차임액수.txt
030_보증금_임차주택_반환,14,보증금 잔존하는 경우에도 차임 연체로 인한 해지 가부,,,030_보증금_임차주택_반환/14_보증금잔존시차임연체해지가부.txt
030_보증금_임차주택_반환,2357,[2024년도 우수사례 발표 수상사례] '정교화 가능성 모델'을 투영한 조정안과 그에 의한 임대차분쟁 해결,,조정기법 자체가 주제인 특수사례 — 심리학(설득이론) 적용,030_보증금_임차주택_반환/2357_정교화가능성모델조정안.txt
030_보증금_임차주택_반환,2396,계약 해지 후 보증금 반환 청구,,중복 사례 — id=1259과 동일 사건(사실관계 완전동일, 인용판례는 서로 다름). Train/Val/Test 분할시 반드시 같은 셋에 배정,030_보증금_임차주택_반환/2396_계약해지후보증금반환청구.txt
030_보증금_임차주택_반환,938,임차인의 원상회복의무와 보증금 반환 분쟁,,,030_보증금_임차주택_반환/938_임차인원상회복의무보증금반환분쟁.txt
030_보증금_임차주택_반환,992,계약 해지에 따른 보증금 반환에 관한 분쟁 (누수를 원인으로 한 계약해지 가부 및 손해배상의 범위),,,030_보증금_임차주택_반환/992_누수계약해지가부손해배상범위.txt
030_보증금_임차주택_반환,9,계약 해지에 따른 보증금의 반환,,,030_보증금_임차주택_반환/9_계약해지에따른보증금의반환.txt
040_유지수선의무,1007,하자와 원상회복 의무 관련,,임차인의 경제적 어려움이 조정 고려요소로 명시 — 취약계층 관련성,040_유지수선의무/1007_하자와원상회복의무관련.txt
040_유지수선의무,1009,"침수 피해로 인한 손해배상액의 책임 주체와 분담 범위, 침수 피해 복구를 위한 유지수선의무가 필요한 범위",,,040_유지수선의무/1009_침수피해손해배상책임주체분담범위.txt
040_유지수선의무,1010,임대차목적물 시설의 하자의 원인 등에 대한 분쟁,,전세임대(임대인-임차인-입주자 3자 구조) 사건,040_유지수선의무/1010_임대차목적물시설하자원인분쟁.txt
040_유지수선의무,1054,임대인의 임차목적물에 대한 보존행위시 임차인의 인용의무와 임차인의 계약해지권 행사 가부,,"대구도시개발공사 전세임대(공공임대) 사건 — 취약계층 관련성 높음, 전대차 구조",040_유지수선의무/1054_임대인보존행위인용의무계약해지권.txt
040_유지수선의무,1150,임차주택의 침수 수리비용에 관한 분쟁,,,040_유지수선의무/1150_임차주택침수수리비용분쟁.txt
040_유지수선의무,1257,유지·수선의무 불이행에 따른 임대차 계약 해지,,,040_유지수선의무/1257_유지수선의무불이행임대차계약해지.txt
040_유지수선의무,15,임차주택 싱크대에 관한 수선 의무,,,040_유지수선의무/15_임차주택싱크대수선의무.txt
040_유지수선의무,16,임차주택 배관 동파에 관한 수선 의무 (1),,,040_유지수선의무/16_임차주택배관동파수선의무1.txt
040_유지수선의무,17,임차주택 배관 동파에 관한 수선 의무 (2),,서울시 보일러 동파 분쟁조정 기준(안) 인용 — 세부 배상기준 참고자료로 유용,040_유지수선의무/17_임차주택배관동파수선의무2.txt
040_유지수선의무,18,임차주택 누수·곰팡이에 관한 수선 의무,,,040_유지수선의무/18_임차주택누수곰팡이수선의무.txt
040_유지수선의무,19,수선의무 면제 특약,,,040_유지수선의무/19_수선의무면제특약.txt
040_유지수선의무,20,임차주택에 대한 유지·수선의무를 임차인이 부담하도록 하는 특약의 효력,,"★★★ 프로젝트 타겟 시나리오와 정확히 일치 — 외국인(스리랑카) 임차인, 한국어/법률지식 부족, 불공정 특약이 정부기관에 의해 명시적으로 ""효력없음"" 판정된 사례. real_labels.md급 최우선 후보.",040_유지수선의무/20_유지수선의무임차인부담특약효력.txt
040_유지수선의무,2358,장기수선충담금과 주택원상회복비용 부담 주체,Y,"LH전세임대 사건, 계약서 특약사항 원문 다수 인용 — 취약계층·조항라벨링 모두 관련성 높음",040_유지수선의무/2358_장기수선충담금과주택원상회복비용부담주체.txt
040_유지수선의무,932,임대인의 보존행위와 계약 해지,Y,계약서 특약사항 원문 인용 사례,040_유지수선의무/932_임대인보존행위계약해지.txt
