source,case_seq,case_no,case_name,doc_url,clause_title,opinion,opinion_source,gold_risk_level_candidate,articles,gold_risk_type_candidates,rationale,clause_text,review_status
법제처 OPEN API/ftc,9319,,6개 온라인음원제공사업자의 이용약관상 불공정약관조항에 대한 건,https://www.law.go.kr/DRF/lawService.do?OC=test&target=ftc&ID=9319&type=HTML,중도해지 불가조항,부분 무효,명시,주의,"제6조,제9조",부당한 비용·세금 전가|선택권 제한·구입 강제|과도한 위약금|일방적 계약 해지|권리행사 제한|보증금 반환 지연,"2. 중도해지 불가조항 가. 약관조항 나. 심사의견 : 부분 무효 ○ 피심인이 제공하는 음원제공서비스는 고객에게 1개월 이상 계속하여 재화 등을 공급하는 계약이며 중도해지가 제한된다는 점에서「방문판매 등에 관한 법률」상 계속거래적 성격을 갖고 있다. - 따라서 피심인이 특별한 사정 없이 고객의 중도해지를 무조건 제한하고 잔여 대금의 환급을 하지 않는다면 불공정약관조항에 해당될 소지가 크다고 할 것이다. ○ 피심인들은 이 서비스와 관련하여 스트리밍서비스 및 정량 다운로드서비스의 경우 고객이 결제 후 1주 내지 2주에 많이 듣고 그 이후에는 잘 듣지 않으며, - 음원저작권자와의 계약상 저작권료를 월단위 금액을 기준으로 지급하도록 되어 있어 일할정산 또는 다운로드 수량에 따라 정산하는 방법 등으로 중도해지를 인정하는 것은 어렵다고 주장한다. - 그러나 고객은 계약기간 중 언제든지 서비스를 이용할 수 있는데 통상 특정기간에 서비스를 많이 이용한다고 하여 중도해지를 인정하지 않는 것은 합리적인 주장이라 볼 수 없으며, - 피심인들이 저작권자들에게 지급하는 저작권료 지급기준은 저작권자들이 정하여 문화체육관광부의 승인을 받은 징수규정에 명시된 것일 뿐, 이를 근거로 법률에서 정하고 있는 고객의 해지권 등의 권리를 제한할 수 있는 사유라 보기는 어렵다. ○ 다만, 피심인의 서비스 중 DRM이 적용된 음원을 무제한 다운로드 할 수 있는 서비스의 경우에는 다운로드 수량에 제한이 없는 점, 이미 고객이 PC 또는 재생기기로 다운로드 받은 파일은 피심인이 중도에 조정하는 것이 불가능한 점, - 이미 다운로드 받은 음원은 1개월간 재생이 가능하다는 점 등을 감안해 볼 때 고객에게 부당하게 불공정하다고 보기는 어렵다고 할 것이다. ○ 따라서 피심인들의 스트리밍서비스 및 정량다운로드 서비스에서 고객의 중도해지를 제한하는 약관조항은 법률의 규정에 의한 고객의 해제권 또는 해지권을 제한하는 조항이므로 약관법 제9조 제1호에 해당된다. ]]> 나. 심사의견 : 무효 ○ 피심인들이 제공하는 무료이벤트(명칭 불문, 이하 같음)는 기본적으로 고객을 자신의 유료서비스에 회원가입 하도록 유도하기 위하여 상품의 홍보 및 고객유치 차원에서 일정기간 이용할 수 있도록 제공하는 서비스의 일종이라 할 것이다. - 이와 관련하여 피심인들은 무료이벤트가 장기간 이용하겠다고 동의하는 고객에 한하여 제공하는 무료혜택이라고 주장하지만, - 피심인들의 무료이벤트를 이용하는 고객은 대부분 서비스를 장기간 이용하기 위해 가입하기 보다는 샘플마케팅의 일종으로 인식하고 1개월을 무료로 이용하기 위하여 가입하는 경우가 대부분이라고 할 것이므로 피심인의 주장은 타당하다고 볼 수 없다. ○ 피심인들의 서비스와 관련하여「전자상거래 등에서의 소비자보호에 관한 법률(이하 '전상법’이라 함」제21조 제1항 제1호에서는 허위 또는 과장된 사실을 알리거나 기만적 방법을 사용하여 소비자를 유인 또는 거래하거나 청약철회 등 또는 계약의 해지를 방해하는 행위를 하여서는 아니되며, - 같은 조항 제4호에서는 소비자의 청약이 없",,미검수
법제처 OPEN API/ftc,9795,,ANF휘트니스의 개별트레이닝약정서상 불공정약관조항에 대한 건,https://www.law.go.kr/DRF/lawService.do?OC=test&target=ftc&ID=9795&type=HTML,(문서 전체 — 조항 구분 없음),무효,명시,위험,제9조,일방적 계약 해지|권리행사 제한|보증금 반환 지연,"9795 시정권고서 2008약관2840 2. 심사결과 : 무효 일반적으로 대중체육시설 이용계약은「방문판매 등에 관한 법률」상 계속계약(거래)에 해당하는 것으로서, 고객은 계약기간 중 언제든지 해지할 수 있으며 사업자(계속거래업자)는 고객의 사정으로 계약이 해지된 경우에도 이로 인해 발생하는 손실에 상당하는 적정 위약금을 공제한 나머지 대금을 환급해야 하고, 또 고객 입장에서도 해당 금원을 청구할 권리가 있음에도 불구하고, 고객에게 환불을 전혀 해 주지 않는다고 규정한 것은 계약의 해지로 인한 고객의 원상회복청구권을 부당하게 포기하도록 하는 것으로서 약관법 제9조 제3호에 해당된다. 피심인은 개별트레이닝프로그램은 일반 체력단련장(헬스장) 이용약관과 다른 특성이 있으므로 환불기준도 달라야 한다고 주장하나, 계약의 중도해지로 인한 피심인의 손실이 고객이 지불한 수강료 전액이라고 볼 수 있는 근거가 없으므로 일반 체력단련장 이용계약과 같이 일정 금액의 정당한 환불조치는 이뤄져야 할 것이다. 트레이너에 대한 정당한 보상 문제도 트레이너를 고용한 피심인이 해결할 문제이지, 이를 근거로 고객의 원상회복청구권을 부당하게 포기하도록 하는 것은 타당하지 않다. 따라서 해당 약관조항은 계약의 해지로 인한 고객의 원상회복청구권을 부당하게 포기하도록 하는 것으로서 약관법 제9조 제3호에 해당된다. ]]> 2. 심사결과 : 무효 일반적으로 대중체육시설 이용계약은「방문판매 등에 관한 법률」상 계속계약(거래)에 해당하는 것으로서, 고객은 계약기간 중 언제든지 해지할 수 있으며 사업자(계속거래업자)는 고객의 사정으로 계약이 해지된 경우에도 이로 인해 발생하는 손실에 상당하는 적정 위약금을 공제한 나머지 대금을 환급해야 하고, 또 고객 입장에서도 해당 금원을 청구할 권리가 있음에도 불구하고, 고객에게 환불을 전혀 해 주지 않는다고 규정한 것은 계약의 해지로 인한 고객의 원상회복청구권을 부당하게 포기하도록 하는 것으로서 약관법 제9조 제3호에 해당된다. 피심인은 개별트레이닝프로그램은 일반 체력단련장(헬스장) 이용약관과 다른 특성이 있으므로 환불기준도 달라야 한다고 주장하나, 계약의 중도해지로 인한 피심인의 손실이 고객이 지불한 수강료 전액이라고 볼 수 있는 근거가 없으므로 일반 체력단련장 이용계약과 같이 일정 금액의 정당한 환불조치는 이뤄져야 할 것이다. 트레이너에 대한 정당한 보상 문제도 트레이너를 고용한 피심인이 해결할 문제이지, 이를 근거로 고객의 원상회복청구권을 부당하게 포기하도록 하는 것은 타당하지 않다. 따라서 해당 약관조항은 계약의 해지로 인한 고객의 원상회복청구권을 부당하게 포기하도록 하는 것으로서 약관법 제9조 제3호에 해당된다. ]]> 2. 심사결과 : 무효 일반적으로 대중체육시설 이용계약은「방문판매 등에 관한 법률」상 계속계약(거래)에 해당하는 것으로서, 고객은 계약기간 중 언제든지 해지할 수 있으며 사업자(계속거래업자)는 고객의 사정으로 계약이 해지된 경우에도 이로 인해 발생하는 손실에 상당하는 적정 위약금을 공제한 나머지 대금을 환급해야 하고, 또",,미검수
법제처 OPEN API/ftc,1161,,IGYM의 회원가입약관 및 동의서상 불공정약관조항에 대한 건,https://www.law.go.kr/DRF/lawService.do?OC=test&target=ftc&ID=1161&type=HTML,계약 해지 시 과다한 위약금 등 부과 조항,무효,명시,위험,제8조,과도한 위약금,"2. 계약 해지 시 과다한 위약금 등 부과 조항 가. 약관조항 나. 심사의견: 무효 대중체육시설 이용계약은「방문판매 등에 관한 법률」(이하 '방판법’이라 한다)상 계속적인 계약(계속거래)에 해당하는 것으로 고객은 계약기간 중 언제든지 해지할 수 있으며 소비자의 사정으로 계약이 해지된 경우 계약 해지로 인해 발생하는 손실에 상당하는 적정 위약금을 제외한 나머지 대금을 환급해야 할 것이다.(방판법 제29조, 제30조) 고객이 자신의 사정으로 계약기간 중도에 해지를 하는 경우에 사업자는 고객에게 손해배상액의 예정으로서의 위약금을 부담지울 수 있지만, 이 경우에도 관련 임의규정, 통상의 거래관행 등을 고려하여 합리적인 수준의 위약금을 정하여야 할 것이다. 방판법 제30조 제5항에 따라 정하여 고시한 「계속거래 등의 해지ㆍ해제에 따른 위약금 및 대금의 환급에 관한 산정기준」 상에는 헬스장 이용계약과 관련하여 고객의 사정에 의한 중도 해지 시 위약금 상한액을 총 계약금액의 10%로 정하고 있다. 또한, 체력단련장 표준약관 및 소비자분쟁해결기준에서도 체육시설을 이용하는 소비자의 귀책사유로 개시일 이후 계약을 해지할 경우 취소일까지의 이용일수에 해당하는 금액과 총 이용금액의 10%를 위약금으로 공제하고 환급하도록 규정하고 있다. 헬스장의 가입금은 통상 입회비(가입비), 연회비, 보증금 및 부가가치세로 구성되어 있는데 연회비는 시설사용료의 선불적 성격을 갖고 있기 때문에 사업자의 귀책사유에 의한 탈회시는 물론이고 고객의 개인사정에 의한 탈회시에도 잔여기간에 상당하는 금액은 반환하는 것이 타당하고, 입회비는 그 명칭에 관계없이 성격상 시설이용에 대한 배타적 회원자격의 대가로서의 법률상 보증금과 구별하기가 어려우며 법률적 성질은 시설이용권에 대한 대가로서 성격을 갖는 것이므로 고객의 탈회시 시설이용권의 반환과 함께 입회비를 반환하여야 할 것이다. 그러나 위 약관에는 회비의 환불과 관련하여 위약금(총회비합계금액의 10%에 상당하는 중도해지수수료)과 이용기간과 무관하게 3개월의 의무사용기간을 적용하여 이 기간동안의 회비전체를 공제하고 이와 별도로 가입비 등 명목으로 이를 공제하는 것으로 규정하고 있다. 따라서 당해 약관조항은 고객에 대하여 부당하게 과중한 손해배상의무를 부담시키는 약관조항이자 계약의 해제 또는 해지로 인한 고객의 원상회복의무를 상당한 이유없이 과중하게 부담시키거나 원상회복청구권을 부당하게 포기하도록 하는 조항으로 약관법 제8조 및 제9조 제3호에 해당되어 무효이다. ",,미검수
법제처 OPEN API/ftc,1161,,IGYM의 회원가입약관 및 동의서상 불공정약관조항에 대한 건,https://www.law.go.kr/DRF/lawService.do?OC=test&target=ftc&ID=1161&type=HTML,"헬스장내에서의 고객물품의 분실, 도난에 대한 사업자의 면책 조항",무효,명시,위험,"제7조,제11조",책임 면제|권리행사 제한,"3. 헬스장내에서의 고객물품의 분실, 도난에 대한 사업자의 면책 조항 가. 약관조항 나. 심사의견: 무효 상법상 공중접객업자는 고객으로부터 임치받은 물건의 보관상 주의를 게을리하지 아니하였음을 증명하지 아니하면 그 물건의 멸실 또는 훼손으로 인한 손해배상의 책임이 있고, 고객으로부터 임치받지 아니한 경우에도 그 시설 내에 휴대한 물건이 공중접객업자 자신 또는 그 사용인의 과실로 인하여 멸실 또는 훼손되었을 대에는 그 손해를 배상할 책임이 있다고 규정(상법 제152조 제1항 및 제2항)하고 있으며, 이에 따라 시설물 내에서의 도난사고의 발생이 사업자의 과실에서 야기된 경우라면 사업자가 그 책임을 지는 것은 당연하다 할 것이다. 또한, 민법상 사업자의 고의 또는 과실로 인한 위법행위로 타인에게 손해를 가한 때에는 그 손해를 배상할 책임이 있으며(민법 제750조) 공작물의 설치 또는 보존의 하자로 인해 타인에게 손해를 가한 때에는 점유자 또는 소유자가 손해배상의 책임이 있다고 규정(민법 제758조 제1항)하고 있으므로 사업자의 과실에 기인한 안전사고에는 사업자가 배상책임을 지어야 할 것이다. 물론 귀중품 등을 안내데스크에 맡기지 않은 경우 우선적으로는 이용자 본인에게 자신의 물건 등의 관리책임이 있다 할 것이다. 그러나 위 약관에는 헬스장내에서 고객 물품의 분실, 도난 또는 헬스장 시설 관리, 회원질서 유지 등과 관련하여 안전사고 등에 대해 사업자의 귀책유무를 따짐이 없이 사업자가 면책되는 것으로 규정하고 있다. 따라서 당해 약관조항은 사업자의 고의 또는 중대한 과실로 인한 법률상의 책임을 배제하는 조항으로 약관법 제7조 제1호에 해당되어 무효이다. ]]> 나. 심사의견: 무효 휘트니스회원권은 회원권에 기명된 자가 해당 시설을 이용할 수 있도록 하는 권리증서로 기명식채권의 일종이라 할 것인데, 채권은 성질상 양도ㆍ양수가 불가능하거나 법률에서 금지하는 경우와 당사자간의 개별약정으로 양도ㆍ양수를 제한하는 경우를 제외하고는 원칙적으로 양도ㆍ양수가 허용된다고 할 것이다.(민법 제449조) 체육시설 이용은 일정기간 동안 고객이 당해시설을 이용하는 계약으로서 일신전속적 계약이 아니므로 다른 고객이 이용한다고 하여 특별히 계약의 내용이 달라질 것은 없다. 따라서 양도ㆍ양수 시 사업자의 허락을 받거나 통지하도록 하는 등의 절차가 없으면 특별히 양도 자체를 제한할 이유가 없다 할 것이다. 또한, 「체육시설의 설치ㆍ이용에 관한 법률」에서도 특별한 사유가 없는 한 회원권의 자유로운 양도를 허용하고 있다. 그러나 위 약관에는 타인에게 회원권의 양도가 불가능한 것으로 규정하고 있다. 따라서 당해 약관조항은 고객이 제3자와 계약을 체결하는 것을 부당하게 제한하는 조항으로 약관법 제11조 제3호에 해당되어 무효이다. ",,미검수
법제처 OPEN API/ftc,10525,,IT휘트니스의 회원카드 이용안내문상상 불공정약관조항에 대한 건,https://www.law.go.kr/DRF/lawService.do?OC=test&target=ftc&ID=10525&type=HTML,(문서 전체 — 조항 구분 없음),무효,명시,위험,제9조,일방적 계약 해지|권리행사 제한|보증금 반환 지연,"10525 시정권고서 2008약관 2. 심사의견 : 무효 ○ 대중체육시설 이용계약은 「방문판매등에 관한 법률」상 계속계약에 해당하는 것으로, 고객은 계약기간 중 언제든지 해지할 수 있으며 소비자의 사정으로 계약이 해지된 경우 계약해지로 인해 발생하는 손실에 상당하는 적정 위약금을 공제한 나머지 대금을 환급해야 할 것임(법 제29조). - 그러나 피심인의 회원CARD 이용안내 약관은 어떤경우에도 환불이 되지 않는다고 규정하고 있으므로, 이는 법률의 규정에 의한 고객의 해제권 또는 해지권을 배제하거나 그 행사를 제한하는 조항으로 약관법 제9조 제1호에 해당됨. ]]> 2. 심사의견 : 무효 ○ 대중체육시설 이용계약은 「방문판매등에 관한 법률」상 계속계약에 해당하는 것으로, 고객은 계약기간 중 언제든지 해지할 수 있으며 소비자의 사정으로 계약이 해지된 경우 계약해지로 인해 발생하는 손실에 상당하는 적정 위약금을 공제한 나머지 대금을 환급해야 할 것임(법 제29조). - 그러나 피심인의 회원CARD 이용안내 약관은 어떤경우에도 환불이 되지 않는다고 규정하고 있으므로, 이는 법률의 규정에 의한 고객의 해제권 또는 해지권을 배제하거나 그 행사를 제한하는 조항으로 약관법 제9조 제1호에 해당됨. ]]> 2. 심사의견 : 무효 ○ 대중체육시설 이용계약은 「방문판매등에 관한 법률」상 계속계약에 해당하는 것으로, 고객은 계약기간 중 언제든지 해지할 수 있으며 소비자의 사정으로 계약이 해지된 경우 계약해지로 인해 발생하는 손실에 상당하는 적정 위약금을 공제한 나머지 대금을 환급해야 할 것임(법 제29조). - 그러나 피심인의 회원CARD 이용안내 약관은 어떤경우에도 환불이 되지 않는다고 규정하고 있으므로, 이는 법률의 규정에 의한 고객의 해제권 또는 해지권을 배제하거나 그 행사를 제한하는 조항으로 약관법 제9조 제1호에 해당됨. ]]> 2. 심사의견 : 무효 ○ 대중체육시설 이용계약은 「방문판매등에 관한 법률」상 계속계약에 해당하는 것으로, 고객은 계약기간 중 언제든지 해지할 수 있으며 소비자의 사정으로 계약이 해지된 경우 계약해지로 인해 발생하는 손실에 상당하는 적정 위약금을 공제한 나머지 대금을 환급해야 할 것임(법 제29조). - 그러나 피심인의 회원CARD 이용안내 약관은 어떤경우에도 환불이 되지 않는다고 규정하고 있으므로, 이는 법률의 규정에 의한 고객의 해제권 또는 해지권을 배제하거나 그 행사를 제한하는 조항으로 약관법 제9조 제1호에 해당됨. ]]> 2. 심사의견 : 무효 ○ 대중체육시설 이용계약은 「방문판매등에 관한 법률」상 계속계약에 해당하는 것으로, 고객은 계약기간 중 언제든지 해지할 수 있으며 소비자의 사정으로 계약이 해지된 경우 계약해지로 인해 발생하는 손실에 상당하는 적정 위약금을 공제한 나머지 대금을 환급해야 할 것임(법 제29조). - 그러나 피심인의 회원CARD 이용안내 약관은 어떤경우에도 환불이 되지 않는다고 규정하고 있으므로, 이는 법률의 규정에 의한 고객의 해제권 또는 해지권을 배제하거나 그 행사를 제한하는 조항으로 약관법",,미검수
법제처 OPEN API/ftc,9943,,KBS비즈니스(주)의 대관약정서상 불공정약관조항에 대한 건,https://www.law.go.kr/DRF/lawService.do?OC=test&target=ftc&ID=9943&type=HTML,(문서 전체 — 조항 구분 없음),무효,명시,위험,제8조,과도한 위약금,"9943 시정권고서 2009약관0474 (2) 심사결과 : 무효 대관계약체결시 고객은 기본시설사용료, 부속시설사용료(조명료, 전기료, 냉난방료, 무대사용료 등) 및 장내정리비 등을 포함한 예상대관료를 지급하는데, 해당 약관조항은 고객이 대관계약을 해제하는 경우 기지급한 예상대관료 중 기본시설사용료를 반환하지 않도록 하고 있다. 반환하지 아니하는 기본시설사용료는 고객이 자신의 사정으로 인하여 계약을 임의로 해지하는 경우 이로 인하여 발생할 손해배상의 액수에 관하여 당사자들이 미리 정해 놓은 손해배상액의 예정에 해당한다. 손해배상액의 예정이 부당하게 과중한지를 판단함에 있어서는 계약당사자의 경제적 지위, 계약의 목적과 내용, 손해배상액을 예정한 동기, 채무액에 대한 예정액의 비율, 예상 손해액의 크기 등을 고려하여야 한다. 고객이 상당기간 전에 계약을 해제한 경우 사업자는 다시 대관을 할 수 있는 점, 다른 유사 시설의 해약금 등을 고려할 때 해당 약관조항은 고객에게 부당하게 과중한 손해배상의무를 부담시키고 있다 할 것이다. 즉, 계약해제시점, 귀책사유의 유무 등을 전혀 고려하지 않고 고객의 계약해제시 일률적으로 기본시설사용료를 반환하지 않는 해당 약관조항은 약관법 제8조에 해당한다. ]]> (2) 심사결과 : 무효 대관계약체결시 고객은 기본시설사용료, 부속시설사용료(조명료, 전기료, 냉난방료, 무대사용료 등) 및 장내정리비 등을 포함한 예상대관료를 지급하는데, 해당 약관조항은 고객이 대관계약을 해제하는 경우 기지급한 예상대관료 중 기본시설사용료를 반환하지 않도록 하고 있다. 반환하지 아니하는 기본시설사용료는 고객이 자신의 사정으로 인하여 계약을 임의로 해지하는 경우 이로 인하여 발생할 손해배상의 액수에 관하여 당사자들이 미리 정해 놓은 손해배상액의 예정에 해당한다. 손해배상액의 예정이 부당하게 과중한지를 판단함에 있어서는 계약당사자의 경제적 지위, 계약의 목적과 내용, 손해배상액을 예정한 동기, 채무액에 대한 예정액의 비율, 예상 손해액의 크기 등을 고려하여야 한다. 고객이 상당기간 전에 계약을 해제한 경우 사업자는 다시 대관을 할 수 있는 점, 다른 유사 시설의 해약금 등을 고려할 때 해당 약관조항은 고객에게 부당하게 과중한 손해배상의무를 부담시키고 있다 할 것이다. 즉, 계약해제시점, 귀책사유의 유무 등을 전혀 고려하지 않고 고객의 계약해제시 일률적으로 기본시설사용료를 반환하지 않는 해당 약관조항은 약관법 제8조에 해당한다. ]]> (2) 심사결과 : 무효 대관계약체결시 고객은 기본시설사용료, 부속시설사용료(조명료, 전기료, 냉난방료, 무대사용료 등) 및 장내정리비 등을 포함한 예상대관료를 지급하는데, 해당 약관조항은 고객이 대관계약을 해제하는 경우 기지급한 예상대관료 중 기본시설사용료를 반환하지 않도록 하고 있다. 반환하지 아니하는 기본시설사용료는 고객이 자신의 사정으로 인하여 계약을 임의로 해지하는 경우 이로 인하여 발생할 손해배상의 액수에 관하여 당사자들이 미리 정해 놓은 손해배상액의 예정에 해당한다. 손해배상액의 예정이 부당하게",,미검수
법제처 OPEN API/ftc,10765,,SOPOOOONG임대계약서상 불공정약관조항에 대한 건,https://www.law.go.kr/DRF/lawService.do?OC=test&target=ftc&ID=10765&type=HTML,위약금 조항,무효,조문인용 추론,위험,제8조,과도한 위약금,"2. 위약금 조항 가. 약관조항 나. 피심인 소명 임대차보증금 10%에 해당하는 위약금은 과다하지 않으며, “갑”의 위약 시에도 동일한 금액을 위약금으로 지급하고 있으므로 형평성 차원에서 부당하지 않다. 다. 판단 고객이 개인사정으로 중도에 계약을 해지할 경우 계약상대방은 계약해지로 인한 손해배상액의 분쟁을 예방하기 위해 일정한 위약금을 정할 수 있으나 그 위약금 수준은 계약의 중도해지로 인해 사업자가 입은 실손해를 감안하여 정하는 것이 타당하다. 임대차계약에서 임차사용에 대한 대가는 계약기간동안의 임대보증금에 대한 정기예금 이자분과 월임대료를 합산한 금액, 즉 임대료 총액이라 할 것이고, 계약위반에 대한 위약금은 임대료 총액의 10%해당액으로 하는 것이 통상 거래관행에 따른 적정한 수준이라 할 것이다. 하지만 피청구인은 보증금, 임대료 등을 모두 합산한 금액인 임대금액 총액의 10%를 위약금으로 정하고 있으며, 이 경우 통상 거래관행보다 과도한 위약금이 부과되므로 임차인에게 부당하게 과중한 손해배상의무를 부과하는 것으로 약관법 제8조에 해당된다. ",,미검수
법제처 OPEN API/ftc,10765,,SOPOOOONG임대계약서상 불공정약관조항에 대한 건,https://www.law.go.kr/DRF/lawService.do?OC=test&target=ftc&ID=10765&type=HTML,이의제기 금지 조항,무효,조문인용 추론,위험,제11조,권리행사 제한,"3. 이의제기 금지 조항 가. 약관조항 나. 피심인 소명 제11조 제6항에서 정하는 개설업종의 변경은 다수당사자들의 이해관계를 조절하기 위한 것으로 일부 소수 당사자들의 이익을 위하여 다수 당사자들의 이익을 침해할 수 없다는 취지에서 규정하고 있다. 또한 위 조항은 관리단회의를 통해 다수결로 이해관계를 조절할 수 있도록 하는 근거조항일 뿐, 임대인이 임의로 개설업종을 변경할 수 있도록 하는 조항은 아니다. 제15조 제2항은 임대차계약서상의 최초의 시설기준을 초과하는 인테리어비용을 임차인이 실비 정산하도록 한 조항으로, 위 조항에 의해 임대인이 별도의 이익을 취하는 것이 아닌 만큼, 임차인에게 불공정하도록 볼 수 없다. 다. 판단 제11조 제6항에 대해 피청구인은 동 조항이 관리단회의를 통해 다수결로 이해관계를 조절할 수 있도록 하는 근거조항일 뿐, 임대인이 임의로 개설업종을 변경할 수 있도록 하는 조항은 아니라고 주장한다. 하지만 약관조항에 관리단회의에 대한 언급이 없을 뿐만 아니라 동 조항에서 분명 “갑”이 지정업종, 용도 및 취급상품을 변경할 수 있음을 규정하고 있다. 업종의 변경은 임차인의 수익과 직결되는 사안으로 계약 당사자간의 합의 또는 임차인이 수긍할 수 있는 별도의 합의가 없는 한 당초 계약과 다른 업종을 강요할 수 없다. 임차인은 계약서와 관리약정에서 정한 지정업종과 다르게 업종이 변경되는 경우, 계약 불이행에 따른 계약해지 등을 주장할 수 있다. 따라서 이의제기를 금하는 조항은 고객의 항변권, 상계권 등의 권리를 상당한 이유없이 배제 또는 제한하는 조항으로 약관법 제11조 제1호에 해당된다. 그리고 제15조 제2항에 대해 피청구인은 임차인의 실비정산의무를 부여한 조항일 뿐, 임대인이 이 조항을 통해 별도의 이득을 얻는 것이 없으므로 부당하지 않다고 주장하고 있다. 하지만 “을”의 동의를 구하는 등의 별도의 합의가 없는 한 “을”에게 청구된 인테리어 비용이 당초 “을”의 예상을 초과하거나 비용산정에 이의가 있는 등의 경우 “을”은 이에 대해 이의제기할 수 있다. 따라서 이의제기를 금하는 조항은 고객의 항변권, 상계권 등의 권리를 상당한 이유 없이 배제 또는 제한하는 조항으로 약관법 제11조 제1호에 해당된다. ",,미검수
법제처 OPEN API/ftc,10765,,SOPOOOONG임대계약서상 불공정약관조항에 대한 건,https://www.law.go.kr/DRF/lawService.do?OC=test&target=ftc&ID=10765&type=HTML,손해배상 청구 금지조항,무효,조문인용 추론,위험,"제7조,제9조",책임 면제|일방적 계약 해지|권리행사 제한|보증금 반환 지연,"4. 손해배상 청구 금지조항 가. 약관조항 나. 피심인 소명 심사대상 약관 제13조 제1항에 대해 피청구인은 불가피한 사유로 인해 임대목적물이 이전, 변경되는 경우 손해배상 의무가 없음을 규정한 것일 뿐, 임대인의 귀책사유로 인해 발생한 손해에 대해 배상책임을 제한하는 것은 아님을 주장하고 있다. 다. 판단 일반적으로 계약 당사자의 귀책사유가 아닌 불가항력의 사유로 채무를 불이행 하는 경우에는 그 책임이 면책된다고 볼 수 있다. 따라서 임대목적물의 이전, 변경과 같이 임차인의 이해관계에 상당히 중요한 영향을 미칠 수 있는 사항을 변경하기 위해서는 약관상에 불가항력 사유의 개념과 범위를 명확하게 하여야 할 것이다. 피청구인은 약관 제13조 제1항이 불가피한 사유로 인해 발생한 손해에 대한 배상을 제한하는 조항일 뿐이라 주장하고 있다. 하지만 동 조항은 “매장운영상 필요한 경우”에 대해 자세하게 규정하고 있지 않을 뿐만 아니라, 사업자의 귀책사유에 의한 임대목적물의 이전, 변경의 경우까지 “매장운영상 필요한 경우”에 포함되는 것으로 해석할 여지가 있다. 따라서 사업자 귀책사유로 인한 임대목적물의 이전, 변경의 경우에도 손해배상을 제한할 우려가 있는 점을 감안할 때 약관법 제7조 제1호에 해당된다. ]]> 나. 피심인 소명 임대보증금을 납부하기 전에는 임차인이 일방적으로 계약을 해제ㆍ해지할 수 있지만, 일단 임대보증금을 납부한 이후에는 별도의 계약해제ㆍ해지 사유가 없는 한 계약해제ㆍ해지가 제한된다는 취지의 조항으로 부당하지 않다. 다. 판단 피청구인의 주장과 같이 보증금을 납부한 후에는 별도의 계약해제ㆍ해지 사유가 없는 한 계약 해제ㆍ해지를 제한하는 것은 부당하다고 볼 수 없다. 하지만 심사대상 약관 제5조 제2항은 계약해제ㆍ해지가 가능한 시점을 임대보증금 납부 전ㆍ후의 구분 없이, 임대보증금을 1회 이상 납부한 후 “갑”이 인정하는 경우에만 가능하도록 제한하고 있다. 따라서 임대보증금 납부 이전의 계약해제ㆍ해지권을 부당하게 제한하고 있으므로 약관법 제9조 제1호에 해당된다. ",,미검수
법제처 OPEN API/ftc,10765,,SOPOOOONG임대계약서상 불공정약관조항에 대한 건,https://www.law.go.kr/DRF/lawService.do?OC=test&target=ftc&ID=10765&type=HTML,손해배상 청구 금지조항,무효,조문인용 추론,위험,제7조,책임 면제,"4. 손해배상 청구 금지조항 가. 약관조항 나. 피심인 소명 심사대상 약관 제13조 제1항에 대해 피청구인은 불가피한 사유로 인해 임대목적물이 이전, 변경되는 경우 손해배상 의무가 없음을 규정한 것일 뿐, 임대인의 귀책사유로 인해 발생한 손해에 대해 배상책임을 제한하는 것은 아님을 주장하고 있다. 다. 판단 일반적으로 계약 당사자의 귀책사유가 아닌 불가항력의 사유로 채무를 불이행 하는 경우에는 그 책임이 면책된다고 볼 수 있다. 따라서 임대목적물의 이전, 변경과 같이 임차인의 이해관계에 상당히 중요한 영향을 미칠 수 있는 사항을 변경하기 위해서는 약관상에 불가항력 사유의 개념과 범위를 명확하게 하여야 할 것이다. 피청구인은 약관 제13조 제1항이 불가피한 사유로 인해 발생한 손해에 대한 배상을 제한하는 조항일 뿐이라 주장하고 있다. 하지만 동 조항은 “매장운영상 필요한 경우”에 대해 자세하게 규정하고 있지 않을 뿐만 아니라, 사업자의 귀책사유에 의한 임대목적물의 이전, 변경의 경우까지 “매장운영상 필요한 경우”에 포함되는 것으로 해석할 여지가 있다. 따라서 사업자 귀책사유로 인한 임대목적물의 이전, 변경의 경우에도 손해배상을 제한할 우려가 있는 점을 감안할 때 약관법 제7조 제1호에 해당된다. ]]>",,미검수
